Extension,ViewerModule,GraphicalEditorModule
,ViewText.mjs,

3mf,View3MF.mjs,

abc,ViewABC.mjs,
adoc,ViewADOC.mjs,
afm,ViewAFM.mjs,
aiff,ViewAIFF.mjs,
alto,ViewALTO.mjs,
amf,ViewAMF.mjs,
ann,ViewANN.mjs,
asc,ViewASC.mjs,
atom,ViewATOM.mjs,
avi,ViewAVI.mjs,
avsc,ViewAVRO.mjs,
avro,ViewAVRO.mjs,

bam,ViewBinary.mjs,
bat,ViewText.mjs,
bdf,ViewFont.mjs,
bed,ViewText.mjs,
bib,ViewText.mjs,
bin,ViewBinary.mjs,
blend,ViewBinary.mjs,
bvh,ViewBVH.mjs,
bmp,ViewImage.mjs,
bullet,ViewPhysicsWorld.mjs,
brd,ViewText.mjs,
bz2,ViewArchive.mjs,

c,ViewText.mjs,
ccd,ViewXML.mjs,
cda,ViewXML.mjs,
cfg,ViewText.mjs,
cha,ViewText.mjs,
cir,ViewCIR.mjs,
ckin,ViewText.mjs,
cmake,ViewText.mjs,
cof,ViewXML.mjs,
conllu,ViewText.mjs,
coq,ViewText.mjs,
cpp,ViewText.mjs,
crt,ViewText.mjs,
css,ViewCSS.mjs,
csv,ViewCSV.mjs,CSVeditor.mjs
cti,ViewText.mjs,

dae,ViewBinary.mjs,
dat,ViewText.mjs,
db,ViewBinary.mjs,
dcm,ViewBinary.mjs,
dem,ViewBinary.mjs,
der,ViewBinary.mjs,
dgn,ViewBinary.mjs,
drl,ViewText.mjs,
dsn,ViewText.mjs,
dtd,ViewText.mjs,
dwg,ViewBinary.mjs,
dxf,ViewDXF.mjs,

eaf,ViewELAN.mjs,
ecg,ViewBinary.mjs,
edf,ViewBinary.mjs,
elf,ViewBinary.mjs,
epub,ViewEPUB.mjs,
excellon,ViewText.mjs,
exr,ViewEXR.mjs,

fa,ViewText.mjs,
fasta,ViewText.mjs,
fastq,ViewText.mjs,
fb2,ViewXML.mjs,
fbx,ViewBinary.mjs,
fhir,ViewJSON.mjs,
flac,ViewAudio.mjs,
flextext,ViewText.mjs,
fnt,ViewFont.mjs,
foxml,ViewXML.mjs,
fountain,ViewText.mjs,

gcode,ViewGCODE.mjs,
geojson,ViewGeoJSON.mjs,
gff,ViewText.mjs,
gif,ViewImage.mjs,
glb,ViewGLTF.mjs,
gltf,ViewGLTF.mjs,
go,ViewText.mjs,
gpkg,ViewBinary.mjs,
gpx,ViewGPX.mjs,
graphml,ViewGraph.mjs,
grib,ViewGRIB.mjs,
gtf,ViewText.mjs,
gz,ViewArchive.mjs,

h,ViewText.mjs,
h5,ViewHDF5.mjs,
har,ViewJSON.mjs,
hdf5,ViewBinary.mjs,
hex,ViewText.mjs,
hl7,ViewText.mjs,
htm,ViewHTML.mjs,HTMLeditor.mjs
html,ViewHTML.mjs,HTMLeditor.mjs
http,ViewText.mjs,
hypothesis.json,ViewJSON.mjs,

ics,ViewICS.mjs,
ifc,ViewIFC.mjs,
iges,ViewText.mjs,
iiif.json,ViewIIIF.mjs,
ini,ViewText.mjs,
inp,ViewText.mjs,
isoxml,ViewISOXML.mjs,

jar,ViewArchive.mjs,
java,ViewText.mjs,
jdx,ViewSpectrum.mjs,
jpeg,ViewJPG.mjs,PNGeditor.mjs
jpg,ViewJPG.mjs,PNGeditor.mjs
json,ViewJSON.mjs,
jsonl,ViewJSON.mjs,
jsonld,ViewJSON.mjs,

kern,ViewText.mjs,
key,ViewText.mjs,
kicad_pcb,ViewKiCadPCB.mjs,
kicad_sch,ViewKiCadSCH.mjs,
kml,ViewKML.mjs,
kmz,ViewKML.mjs,
kra,ViewBinary.mjs,

landxml,ViewXML.mjs,
lammps,ViewText.mjs,
las,ViewPointCloud.mjs,
latex,ViewText.mjs,
laz,ViewArchive.mjs,
lean,ViewText.mjs,
lift,ViewXML.mjs,
log,ViewText.mjs,
ly,ViewLilyPond.mjs,

md,ViewMD.mjs,MDeditor.mjs
mei.xml,ViewMEI.mjs,
mesh,ViewText.mjs,
mets.xml,ViewXML.mjs,
mhd,ViewBinary.mjs,
mid,ViewMidi.mjs,
